mV,TTX1.Y1_F2.10,TTX1.Y2_F2.10,TTX1.Y3_F2.10,TTX1.Y4_F2.10,TTX2.Y1_F2.10,TTX2.Y2_F2.10,TTX2.Y3_F2.10,TTX2.Y4_F2.10,XE1Y1_F2.10,XE1.Y2_F2.10,XE1.Y3_F2.10,XE1.Y4_F2.10,XE2.Y1_F2.10,XE2.Y2_F2.10,XE2.Y3_F2.10,XE2.Y4_F2.10,TTX1.Y1_F2.6,TTX1.Y2_F2.6,TTX1.Y3_F2.6,TTX1.Y4_F2.6,TTX2.Y1_F2.6,TTX2.Y2_F2.6,TTX2.Y3_F2.6,TTX2.Y4_F2.6,XE1.Y1_F2.6,XE1.Y2_F2.6,XE1.Y3_F2.6,XE1.Y4_F2.6,XE2.Y1_F2.6,XE2.Y2_F2.6,XE2.Y3_F2.6,XE2.Y4_F2.6,TTX1.Y1_F2.12,TTX1.Y2_F2.12,TTX1.Y3_F2.12,TTX1.Y4_F2.12,TTX2.Y1_F2.12,TTX2.Y2_F2.12,TTX2.Y3_F2.12,TTX2.Y4_F2.12,XE1.Y1_F2.12,XE1.Y2_F2.12,XE1.Y3_F2.12,XE1.Y4_F2.12,XE2.Y1_F2.12,XE2.Y2_F2.12,XE2.Y3_F2.12,XE2.Y4_F2.12,TTX1.Y1_F2.14,TTX1.Y2_F2.14,TTX1.Y3_F2.14,TTX1.Y4_F2.14,TTX2.Y1_F2.14,TTX2.Y2_F2.14,TTX2.Y3_F2.14,TTX2.Y4_F2.14,XE1.Y1_F2.14,XE1.Y2_F2.14,XE1.Y3_F2.14,XE1.Y4_F2.14,XE2.Y1_F2.14,XE2.Y2_F2.14,XE2.Y3_F2.14,XE2.Y4_F2.14,TTX1.Y1_F2.11,TTX1.Y2_F2.11,TTX1.Y3_F2.11,TTX1.Y4_F2.11,TTX2.Y1_F2.11,TTX2.Y2_F2.11,TTX2.Y3_F2.11,TTX2.Y4_F2.11,XE1.Y1_F2.11,XE1.Y2_F2.11,XE1.Y3_F2.11,XE1.Y4_F2.11,XE2.Y1_F2.11,XE2.Y2_F2.11,XE2.Y3_F2.11,XE2.Y4_F2.11
-75,-122.0703125,-98.87695313,-87.890625,-86.05957031,-104.3701172,-95.21484375,-86.66992188,-85.44921875,-112.9150391,-104.3701172,-101.3183594,-99.48730469,-116.5771484,-108.0322266,-102.5390625,-100.7080078,-56.15234375,-34.1796875,-27.46582031,-27.46582031,-50.04882813,-34.79003906,-21.36230469,-25.63476563,-66.52832031,-38.45214844,-17.08984375,-22.58300781,-64.08691406,-35.40039063,-17.70019531,-16.47949219,25.02441406,28.68652344,35.40039063,36.01074219,28.07617188,33.56933594,35.40039063,34.79003906,1.831054688,9.155273438,13.42773438,14.6484375,NA,NA,NA,NA,159.3017578,164.1845703,178.2226563,180.0537109,147.7050781,158.6914063,169.0673828,170.2880859,147.0947266,152.5878906,158.0810547,157.4707031,NA,NA,NA,NA,-96.43554688,-91.55273438,-93.99414063,-93.38378906,-98.26660156,-91.55273438,-92.7734375,-92.16308594,-83.61816406,-84.22851563,-79.34570313,-79.95605469,-84.83886719,-83.0078125,-81.17675781,-79.34570313
-70,-101.3183594,-83.0078125,-81.17675781,-83.61816406,-88.50097656,-79.95605469,-75.68359375,-74.46289063,-96.43554688,-92.7734375,-89.72167969,-91.55273438,-97.65625,-94.60449219,-93.99414063,-94.60449219,-8.544921875,3.051757813,-4.8828125,-10.37597656,-7.32421875,0,-11.59667969,-7.934570313,-26.24511719,-8.544921875,-0.6103515625,-0.6103515625,-29.90722656,-10.37597656,0,-3.662109375,68.359375,70.19042969,78.125,74.46289063,66.52832031,69.58007813,76.90429688,80.56640625,29.90722656,37.23144531,51.26953125,48.828125,NA,NA,NA,NA,255.1269531,261.8408203,269.7753906,270.9960938,249.6337891,252.0751953,264.8925781,260.6201172,210.5712891,214.2333984,222.1679688,222.7783203,NA,NA,NA,NA,-86.05957031,-82.39746094,-79.95605469,-78.73535156,-86.66992188,-85.44921875,-81.17675781,-83.61816406,-76.90429688,-76.29394531,-73.2421875,-73.2421875,-76.90429688,-73.2421875,-70.80078125,-70.80078125
-65,-78.73535156,-64.69726563,-65.91796875,-72.02148438,-72.02148438,-61.64550781,-66.52832031,-69.58007813,-78.73535156,-75.68359375,-76.90429688,-79.95605469,-84.83886719,-81.17675781,-81.78710938,-84.22851563,29.90722656,32.95898438,9.765625,12.81738281,28.68652344,36.01074219,12.20703125,14.6484375,1.831054688,9.765625,11.59667969,9.765625,-1.831054688,10.37597656,11.59667969,12.20703125,115.9667969,114.7460938,115.3564453,116.5771484,109.8632813,115.3564453,115.9667969,114.7460938,67.13867188,72.63183594,76.29394531,76.29394531,NA,NA,NA,NA,350.3417969,356.4453125,360.7177734,364.3798828,337.5244141,349.1210938,347.9003906,352.1728516,280.1513672,283.8134766,286.2548828,285.6445313,NA,NA,NA,NA,-74.46289063,-75.68359375,-72.63183594,-71.41113281,-72.02148438,-70.19042969,-73.85253906,-66.52832031,-67.74902344,-67.74902344,-64.08691406,-64.69726563,-68.96972656,-68.359375,-62.25585938,-65.91796875
-60,-64.08691406,-50.65917969,-59.81445313,-64.08691406,-56.15234375,-49.43847656,-59.20410156,-60.42480469,-63.4765625,-60.42480469,-70.19042969,-71.41113281,-67.13867188,-62.25585938,-70.80078125,-75.68359375,73.85253906,73.2421875,37.84179688,40.28320313,72.63183594,72.63183594,39.67285156,38.45214844,26.24511719,33.56933594,31.73828125,26.85546875,23.80371094,34.79003906,26.85546875,23.19335938,152.5878906,154.4189453,150.1464844,150.1464844,157.4707031,162.9638672,156.8603516,158.0810547,103.7597656,107.421875,109.8632813,108.0322266,NA,NA,NA,NA,443.1152344,448.6083984,452.2705078,451.0498047,441.2841797,438.2324219,445.5566406,442.5048828,347.9003906,350.3417969,350.9521484,354.0039063,NA,NA,NA,NA,-63.4765625,-60.42480469,-62.86621094,-61.64550781,-64.08691406,-64.69726563,-61.03515625,-62.25585938,-62.86621094,-56.15234375,-57.37304688,-59.20410156,-61.03515625,-61.03515625,-57.37304688,-55.54199219
-55,-40.89355469,-31.12792969,-46.99707031,-50.04882813,-36.62109375,-30.51757813,-49.43847656,-49.43847656,-45.77636719,-48.21777344,-59.20410156,-60.42480469,-54.32128906,-51.87988281,-59.81445313,-58.59375,115.3564453,114.7460938,78.125,73.2421875,119.0185547,114.1357422,72.02148438,70.19042969,53.7109375,62.86621094,50.04882813,51.87988281,53.7109375,57.37304688,42.11425781,43.9453125,191.0400391,195.9228516,195.9228516,191.0400391,198.9746094,201.4160156,200.1953125,200.8056641,133.6669922,135.4980469,135.4980469,136.71875,NA,NA,NA,NA,541.3818359,543.8232422,549.3164063,550.5371094,529.7851563,532.8369141,533.4472656,535.8886719,415.6494141,415.6494141,418.7011719,418.0908203,NA,NA,NA,NA,-51.87988281,-50.65917969,-50.65917969,-51.26953125,-53.10058594,-50.04882813,-48.828125,-50.65917969,-52.49023438,-51.26953125,-52.49023438,-50.65917969,-54.32128906,-53.7109375,-47.60742188,-49.43847656
-50,-20.14160156,-15.25878906,-37.84179688,-40.28320313,-18.31054688,-14.6484375,-38.45214844,-39.0625,-26.85546875,-26.85546875,-47.60742188,-47.60742188,-31.73828125,-30.51757813,-47.60742188,-50.04882813,174.5605469,164.1845703,109.2529297,107.421875,170.8984375,158.0810547,111.6943359,112.3046875,86.05957031,91.55273438,70.19042969,73.2421875,85.44921875,91.55273438,66.52832031,67.74902344,243.5302734,245.3613281,249.0234375,248.4130859,242.9199219,240.4785156,240.4785156,245.3613281,166.015625,173.9501953,172.7294922,172.1191406,NA,NA,NA,NA,636.5966797,635.9863281,640.2587891,636.5966797,627.4414063,628.6621094,628.0517578,628.0517578,483.3984375,479.1259766,482.7880859,484.6191406,NA,NA,NA,NA,-31.73828125,-37.23144531,-39.67285156,-39.0625,-36.62109375,-35.40039063,-39.0625,-40.89355469,-43.33496094,-47.60742188,-42.72460938,-43.33496094,-48.828125,-44.55566406,-43.9453125,-44.55566406
-45,-3.051757813,4.272460938,-29.90722656,-28.68652344,-1.831054688,2.44140625,-29.296875,-26.85546875,-11.59667969,-12.20703125,-36.62109375,-36.01074219,-9.765625,-12.20703125,-32.34863281,-33.56933594,225.8300781,216.0644531,164.7949219,159.3017578,211.1816406,203.2470703,164.1845703,158.6914063,117.1875,117.1875,92.7734375,90.33203125,112.9150391,106.8115234,89.11132813,91.55273438,288.0859375,290.5273438,288.6962891,294.1894531,280.7617188,280.7617188,290.5273438,289.9169922,200.1953125,202.0263672,194.7021484,202.0263672,NA,NA,NA,NA,737.9150391,736.6943359,737.3046875,733.0322266,720.2148438,720.8251953,728.7597656,725.0976563,549.9267578,553.5888672,551.7578125,548.7060547,NA,NA,NA,NA,-18.31054688,-23.19335938,-29.90722656,-26.24511719,-29.296875,-27.46582031,-29.296875,-29.296875,-34.79003906,-33.56933594,-36.01074219,-36.01074219,-35.40039063,-37.84179688,-35.40039063,-36.01074219
-40,24.4140625,25.02441406,-13.42773438,-9.155273438,21.97265625,23.80371094,-11.59667969,-12.81738281,14.03808594,6.713867188,-20.75195313,-24.4140625,5.493164063,3.051757813,-18.31054688,-13.42773438,294.7998047,275.2685547,214.84375,219.7265625,272.2167969,266.1132813,213.0126953,217.2851563,148.9257813,145.2636719,121.4599609,122.6806641,140.3808594,142.8222656,120.8496094,115.9667969,341.1865234,335.6933594,336.3037109,337.5244141,338.7451172,339.9658203,334.4726563,338.7451172,241.0888672,241.0888672,236.8164063,240.4785156,NA,NA,NA,NA,828.8574219,831.9091797,828.8574219,827.0263672,818.4814453,821.5332031,816.6503906,820.3125,620.1171875,617.0654297,618.2861328,618.8964844,NA,NA,NA,NA,-6.103515625,-7.32421875,-17.08984375,-17.08984375,-11.59667969,-14.03808594,-17.70019531,-19.53125,-25.02441406,-26.85546875,-25.02441406,-26.85546875,-25.02441406,-27.46582031,-26.24511719,-27.46582031
-35,39.67285156,43.9453125,4.272460938,4.8828125,40.89355469,40.28320313,5.493164063,4.8828125,24.4140625,21.97265625,0,2.44140625,23.19335938,21.36230469,-0.6103515625,-1.831054688,344.2382813,332.6416016,283.8134766,284.4238281,337.5244141,325.3173828,283.203125,283.203125,189.2089844,185.546875,160.5224609,157.4707031,184.9365234,181.2744141,149.5361328,150.7568359,383.3007813,380.859375,380.2490234,382.0800781,376.5869141,381.4697266,374.7558594,368.6523438,272.8271484,271.6064453,258.1787109,257.5683594,NA,NA,NA,NA,925.2929688,927.734375,925.9033203,923.4619141,919.1894531,912.4755859,913.0859375,910.6445313,686.0351563,686.6455078,685.4248047,684.2041016,NA,NA,NA,NA,4.8828125,3.662109375,-3.662109375,-3.051757813,1.831054688,-1.831054688,-4.8828125,-7.32421875,-20.14160156,-21.36230469,-17.70019531,-20.14160156,-20.14160156,-17.70019531,-18.92089844,-17.70019531
-30,66.52832031,64.69726563,37.23144531,39.67285156,61.64550781,59.81445313,34.1796875,33.56933594,49.43847656,47.60742188,21.36230469,22.58300781,48.828125,43.9453125,19.53125,18.92089844,415.6494141,397.9492188,361.328125,353.3935547,393.0664063,385.1318359,347.2900391,341.796875,222.7783203,223.9990234,198.3642578,191.6503906,213.6230469,212.4023438,191.6503906,197.1435547,431.5185547,435.1806641,423.5839844,426.0253906,435.1806641,433.3496094,432.1289063,430.9082031,306.3964844,305.1757813,293.5791016,288.6962891,NA,NA,NA,NA,1029.663086,1029.663086,1019.897461,1018.676758,1008.911133,1010.742188,1002.197266,1002.807617,752.5634766,754.3945313,748.2910156,749.5117188,NA,NA,NA,NA,10.37597656,10.37597656,4.272460938,1.831054688,9.155273438,10.37597656,2.44140625,6.103515625,-12.20703125,-11.59667969,-12.20703125,-11.59667969,-11.59667969,-12.81738281,-14.03808594,-10.98632813
-25,85.44921875,82.39746094,72.63183594,74.46289063,79.34570313,79.95605469,64.08691406,62.86621094,61.64550781,58.59375,56.76269531,51.87988281,66.52832031,62.25585938,49.43847656,50.04882813,485.2294922,474.2431641,432.7392578,435.1806641,470.5810547,461.4257813,424.8046875,427.2460938,262.4511719,260.0097656,237.4267578,236.2060547,260.6201172,262.4511719,241.6992188,234.375,470.5810547,472.4121094,474.2431641,468.1396484,474.8535156,471.1914063,469.9707031,467.5292969,330.2001953,330.8105469,313.7207031,318.6035156,NA,NA,NA,NA,1122.436523,1120.605469,1116.333008,1121.826172,1106.567383,1103.515625,1102.294922,1099.853516,819.0917969,818.4814453,819.7021484,816.6503906,NA,NA,NA,NA,21.97265625,19.53125,17.08984375,23.19335938,15.25878906,18.31054688,17.70019531,15.86914063,-1.831054688,1.831054688,-4.272460938,-2.44140625,-1.831054688,-1.831054688,0.6103515625,-2.44140625