"","subslice","subject","slice","date","pnd","group","RMP.start","RMP.pre","RMP.ttx","RMP.xe","cm.start","cm.pre","cm.ttx","cm.xe","rm.start","rm.pre","rm.ttx","rm.xe","ra.start","ra.pre","ra.ttx","ra.xe","tau.start","tau.pre","tau.ttx","tau.xe","hold.start","hold.pre","hold.ttx","hold.xe","inp.start.10","inp.start.n10","inp.pre.10","inp.pre.n10","inp.ttx.10","inp.ttx.n10","inp.xe.10","inp.xe.n10","epsc.events","epsc.peak","epsc.amp","epsc.auc.pAms","epsc.decayfit.b0","epsc.decayfit.b1","epsc.decayfit.tau","epsc.decayfit.r2","mepsc.events","mepsc.peak","mepsc.amp","mepsc.auc.pAms","mepsc.decayfit.b0","mepsc.decayfit.b1","mepsc.decayfit.tau","mepsc.decayfit.r2","max_MC_pA"
"1","F1.23A","F1.23","A","03/12/25",73,"BPA",-61.4,-58.4,-59.1,-61.9,13.73,20.95,20.69,20.83,331.2,103.9,108.1,134.6,68.4,76.1,82.4,99.5,778.6,920.5,967.6,1200,-19.5,-36,-37.8,-28.7,75.6836,14.6484,75.0732,13.4277,NA,NA,86.6699,8.54492,5,51.39159775,-10.25390732,-25.07019655,61.27242403,-9.030276605,1.643022149,0.8793419282,2,58.89892197,-14.28223038,-65.94849348,71.91524533,-10.60665548,2.263175387,0.76934305,NA
"2","F2.10A","F2.10","A","04/23/25",83,"Veh",-73.6,-46.9,-44.3,-45.3,19.64,21.8,18.91,15.18,517,213.5,279.3,310.1,89.6,101.5,110.8,145,1500,1500,1500,1500,-3.1,-109.9,-110.5,-107.4,19.5313,-4.27246,-43.9453,-85.4492,-49.4385,-92.1631,-43.335,-85.4492,81,-74.80197379,-10.22527325,-79.80442779,-64.13575455,-11.64093211,6.529919026,0.9928216268,60,-67.04711825,-10.06469986,-80.42375215,-56.77979958,-10.86026424,6.158929218,0.9920951712,0.152587892500001
"3","F2.6A","F2.6","A","04/24/25",84,"BPA",-73.6,NA,NA,NA,7.63,NA,NA,NA,539.2,NA,NA,NA,143.4,NA,NA,NA,868.4,NA,NA,NA,202.6,NA,NA,NA,231.934,205.688,NA,NA,NA,NA,NA,NA,145,199.7827843,-11.77768001,-81.70818266,211.0382503,-11.17746784,5.527398317,0.9962029123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","F2.6B","F2.6","B","04/24/25",84,"BPA",-72.6,-69.8,-67.8,-66.5,38.71,24.99,28.11,25.21,59.6,168.6,170.6,185.5,60.9,68.8,77.7,87.6,1200,1200,1500,1500,-68.4,-36,-53.7,-38.5,119.629,14.0381,75.6836,3.05176,77.5146,-12.207,59.2041,-7.93457,188,-190.3452651,-14.15820591,-72.86637595,-177.8276696,-13.60543661,2.400732404,0.9743056462,237,7.944871209,-9.003328992,-73.3899445,15.09283676,-6.852621748,4.457462695,0.9717125627,23.49853515
"5","F2.12A","F2.12","A","04/29/25",81,"BPA",-74.4,-71,-76.1,-73.3,29.82,32.49,47.42,34.58,295.6,74.4,57.1,110.7,60.6,86.2,70.9,71.3,1500,1300,1500,1500,-12.2,-39.1,-11.6,-18.9,153.809,37.2314,68.3594,28.0762,231.934,73.2422,165.405,44.5557,563,27.38342714,-19.19734326,-101.4309566,47.03626888,-21.18057696,4.337455797,0.9976827901,323,138.5573626,-13.78978867,-77.23115661,152.2668027,-14.88736549,4.143338361,0.9966843916,-9.002685525
"6","F2.14A","F2.14","A","04/30/25",82,"Veh",-75.7,-76.5,-75.2,-75.6,31.92,101.96,57.91,61.96,109.9,8.9,17.2,28,76.2,28.9,39.3,52.3,1400,696.1,693.2,1100,144.7,81.2,85.4,103.8,347.29,215.454,827.026,326.538,556.03,219.116,485.229,222.168,787,399.5437125,-29.22862618,-100.7400901,428.5129346,-30.48314074,2.405516531,0.9984942916,297,440.466237,-15.03108888,-59.20569423,455.2962665,-15.94021004,2.733555113,0.9966529145,4.27246100000002
"7","F2.1.DREADDA","F2.1.DREADD","A","05/02/25",95,"BPA",-51.4,-64.3,-59.5,NA,67.76,71.18,71.18,NA,70.1,71.1,67.8,NA,63.1,56.9,59.2,NA,2300,2300,2300,NA,-140.4,-128.8,-158.1,NA,-10.9863,-4.88281,68.9697,-50.0488,57.9834,-89.1113,NA,NA,810,-60.53707571,-21.97838089,-116.6457559,-38.98974609,-22.98121328,3.799556233,0.9970433498,133,-57.7768855,-11.33877173,-68.2282355,-46.6577995,-11.67167747,4.538474702,0.9966701093,NA
"8","F2.1.DREADDB","F2.1.DREADD","B","05/02/25",95,"BPA",-72.4,-59.7,NA,NA,17.72,19.42,NA,NA,299.7,343.2,NA,NA,90.4,99.7,NA,NA,1200,1500,NA,NA,-12.8,-29.3,NA,NA,21.3623,6.71387,5.49316,-14.6484,NA,NA,NA,NA,956,-11.9867677,-11.76752637,-76.84833331,-0.6183049379,-12.08778187,4.737984906,0.9979784896,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","F2.11A","F2.11","A","05/06/25",88,"BPA",-48.8,-51.7,-36.2,NA,30.09,38.5,5.49,NA,95.4,75.2,220.8,NA,90.8,80.9,82.6,NA,1400,1500,330.1,NA,-159.3,-155,-137.9,NA,-12.8174,-46.3867,9.76563,-112.915,-15.8691,-101.318,NA,NA,58,-35.44248255,-8.99742407,-50.51053788,-26.3381438,-9.807182531,4.569234286,0.9890624419,13,-77.23294537,-12.0755698,-73.04031044,-65.00165062,-13.10969657,4.728947624,0.9781209127,NA
"10","F2.11B","F2.11","B","05/06/25",88,"BPA",-58.4,-43.3,-28.8,-22.2,8.98,13.45,11.03,12.81,446.4,295.6,454.8,362.8,99.7,104,91.4,105.3,731.7,1000,838.8,1000,-18.3,-133.3,-93.4,-119,37.8418,-1.2207,10.376,-12.8174,-40.2832,-75.6836,-43.9453,-73.8525,106,-12.73101158,-9.837024036,-49.88342604,-4.077773144,-8.898168404,2.137457532,0.9851970108,14,-77.20946993,-9.259903009,-27.31868093,-67.87893261,-9.608433905,2.08415465,0.9705545144,NA
"11","F3.5A","F3.5","A","07/24/25",91,"Veh",-50.6,-56.2,NA,NA,19.42,17.82,NA,NA,190.7,221,NA,NA,11.6,20,NA,NA,211.8,326.4,NA,NA,-127.6,-92.2,NA,NA,-224.609,-397.949,34.79,-18.9209,NA,NA,NA,NA,255,-36.01792076,-10.49278024,-44.01178983,-27.92533489,-8.85941455,2.267067645,0.9880840332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","F3.5B","F3.5","B","07/24/25",91,"Veh",-65.3,-63.8,NA,NA,17.22,13.94,NA,NA,83.1,99.3,NA,NA,74.4,69.6,NA,NA,676.2,570.4,NA,NA,-78.1,-83.4,NA,NA,106.201,-4.27246,-17.0898,-266.113,NA,NA,NA,NA,273,24.06081767,-14.76648251,-55.39968444,38.76143973,-14.77416635,2.882023345,0.9967285208,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","F3.5C","F3.5","C","07/24/25",91,"Veh",-68.2,-66,-71.3,-63.4,18.79,29.07,33.4,31.1,253.9,36.9,42.6,47.7,49.5,38.6,36.6,39.6,777.7,548.5,657,639.1,-35.4,-162.4,-87.3,-194.1,88.501,6.10352,213.013,-37.2314,292.358,32.959,153.809,-116.577,126,97.3074709,-15.49324135,-56.32515876,112.80015,-16.00369206,2.982698662,0.9849327756,148,152.7074843,-14.45872171,-50.21168714,167.4281227,-15.38811385,3.060345692,0.9954655574,62.255859375
"14","F3.5D","F3.5","D","07/24/25",91,"Veh",-76.3,-72.6,-73.9,-72.8,30.33,85.91,65.45,51.93,126,18.8,27.4,36.7,81.4,52.4,47.7,60.2,1500,1200,1100,1300,-63.5,-129.4,-105,-91.6,122.07,34.79,299.072,18.9209,292.358,24.4141,221.558,13.4277,120,97.26968886,-10.51432199,-37.72607977,108.8563535,-12.53931086,3.925229503,0.9946283054,22,141.2409002,-12.35129616,-56.60386536,153.7761194,-12.88373019,3.695567021,0.9889724635,-3.35693362499995
"15","MA25035A","MA25035","A","8/21/25",90,"Veh",-46.1,-58.3,-54.1,NA,22.4,31.07,28.96,NA,154,37,41.9,NA,34.6,38.2,45.2,NA,628.7,583.6,630,NA,-184.9,279.5,-275.3,NA,10.9863,-106.201,111.694,-134.888,70.1904,-155.64,NA,NA,68,3.509521526,-13.26078402,-65.4550357,15.93536428,-12.31705679,3.196235589,0.9899472113,69,-54.6397302,-13.6187996,-69.60284721,-41.7030698,-13.84513091,3.569410676,0.9924842517,NA
"16","MA25035B","MA25035","B","8/21/25",90,"Veh",-59.7,-62.6,-23,-19.5,21.7,45.12,2.88,1.18,384.6,59.2,43.6,499.9,70.5,76.2,45.6,46.3,1300,1500,118,50,-40.9,-112.3,-96.4,-97.7,12.207,-15.2588,86.0596,-42.7246,-40.8936,-52.4902,-52.4902,-82.3975,174,33.40797684,-12.85316272,-61.84992515,45.98551934,-13.57180991,3.434941047,0.9950920912,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","MA25039A","MA25039","A","8/26/25",94,"Veh",-71.2,-70.1,-69.3,-64.9,19.34,30.5,20.13,12.39,314.8,41.5,77.3,248.9,33.8,65.6,74.4,85.5,590.9,775.6,763.3,788.6,-127,-58,-43.3,-30.5,17.0898,16.4795,184.937,18.3105,137.329,14.0381,50.0488,-4.27246,228,114.695224,-14.29882774,-55.84062595,128.8920041,-14.8785906,2.867322014,0.9974450057,282,80.98196016,-10.38982552,-86.13406909,90.00534328,-9.125455393,5.631693549,0.9966094268,4.57763669999997
"18","MA25039B","MA25039","B","8/26/25",94,"Veh",-71.3,-68.7,-69.3,-66.8,19.41,50.07,42.23,24.46,292.8,22.7,38.9,93.4,63.4,43.4,52.1,54.2,1000,745.5,940.9,838.7,-44.6,-123.9,-92.8,-75.7,28.0762,24.4141,286.865,14.6484,242.92,15.8691,119.629,-5.49316,34,176.4095387,-13.32361468,-37.85211743,190.6653066,-14.6239994,2.775831354,0.9877039989,20,125.8850063,-14.06860672,-46.36002095,139.7659825,-13.69458855,2.395447793,0.9643336128,5.49316407499998
"19","MA25039C","MA25039","C","8/26/25",94,"Veh",-48.6,-40.7,-34.1,-26.5,28.16,30.48,28.33,38.59,374.4,64.5,65.3,73.3,15.7,42.6,63.7,82.7,424.9,781.7,913.7,1500,-145.9,-315.6,-301.5,-311.3,-69.5801,-153.198,-65.3076,-219.727,-109.253,-237.427,-122.681,-245.972,223,-121.6241759,-10.19478888,-79.99363708,-113.0528216,-7.869191763,5.374902011,0.9572399641,24,-170.7458356,-11.99340057,-71.13005026,-159.664789,-12.04656746,3.692098804,0.9848812737,NA
"20","MA25045A","MA25045","A","8/27/25",95,"Veh",-51,-57.2,-44,-30.5,17.74,13.23,6.81,4.86,347.4,376.9,530,241.5,112.2,119.6,182.7,40.9,1500,1200,1200,170.2,-60.4,44.6,-40.3,-175.8,-17.0898,-30.5176,51.8799,43.9453,-57.373,-57.373,-77.5146,-145.264,41,3.944955006,-11.70386293,-43.83589398,16.26274955,-12.88380695,3.830380763,0.9895990684,6,-18.51399549,-12.43082549,-79.08120735,-7.038658829,-12.19378236,3.596651635,0.9648032412,NA
"21","MA25045B","MA25045","B","8/27/25",95,"Veh",-72.7,-69.7,-65.3,-63.7,20.7,35.17,36.42,24.34,954.4,92.2,48.2,168.1,69.4,37.9,46,47.4,1300,944.1,856.9,900.3,-18.9,-59.8,-117.2,-58.6,17.7002,7.32422,167.236,14.0381,179.443,-18.9209,88.501,-19.5313,240,57.86132542,-12.29604212,-48.01559911,70.07400574,-12.92265811,2.832101538,0.9962430407,56,98.35378802,-13.87677847,-52.34609678,112.0864173,-15.04922729,2.774067407,0.9895042261,-21.514892575
"22","MA25045C","MA25045","C","8/27/25",95,"Veh",-63.1,-60.7,-57.7,-57.4,18.85,32.02,23.88,20,690.2,39.3,69.8,220.6,89.9,59.4,51.6,71.9,1500,757.6,708.3,1100,-37.2,-164.2,-167.2,-59.8,19.5313,-14.0381,135.498,-60.4248,76.2939,-78.7354,42.7246,-26.8555,30,44.79980316,-10.4899084,-94.02669093,52.84819017,-7.390442041,4.788413217,0.9626700631,105,14.5089277,-9.894670554,-45.92663177,24.11906948,-10.22506811,3.61137394,0.9920136458,15.716552725
"23","MA25034A","MA25034","A","8/28/25",97,"BPA",-62.1,-62.3,-34.7,-30,17.1,18.46,21.55,30.61,555.3,369.6,103.7,144.6,51.5,40,35.1,62.8,805.9,665.7,565.6,1300,-21.4,-33,-270.4,-249.6,22.583,-5.49316,32.3486,-7.32422,-123.291,-225.83,-553.589,-831.909,150,7.812499615,-10.70312456,-46.08062565,18.44696061,-10.77737966,3.310274942,0.9955980878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","MA25036A","MA25036","A","9/2/25",102,"Veh",-51.2,-60.8,-54.9,-43.7,24.95,81.01,44.39,30.44,153.1,24.8,48.1,91.2,99,61,62.8,76,1500,1400,1200,1300,-120.8,-175.2,-177.3,-181.3,20.752,-65.3076,131.226,-67.1387,56.1523,-101.929,-17.7002,-120.85,744,26.34684107,-12.9817835,-49.31996984,39.13766653,-13.61971923,2.808375709,0.9963014971,39,-26.1355659,-9.800054913,-76.76071248,-18.70451117,-7.63920276,3.074097711,0.9570698824,38.757324215
"25","MA25036B","MA25036","B","9/2/25",102,"Veh",-86.4,-73.8,-44.1,-27.2,22.83,23.03,24.91,17.38,609,556.4,201.6,76.1,73.7,73.8,85.9,68.8,1500,1500,1500,628.5,4.3,-7.3,-127.6,-352.2,10.9863,17.0898,10.9863,9.15527,-31.1279,-110.474,-148.926,-292.969,105,2.743675433,-10.57128851,-44.07944289,13.54950864,-11.37523977,3.771670069,0.9939051997,70,-17.11600067,-13.82359011,-58.67156676,-3.295970401,-13.65378579,3.765690434,0.9944402461,NA
"26","MA25040A","MA25040","A","9/3/25",102,"BPA",-35,-55.4,-61.1,-30,18.93,23.77,29.79,23.39,276.6,214.5,107.7,94.6,51.1,63.2,94.6,112.8,816.7,1200,1500,1200,-136.7,-92.8,-87.9,-297.2,-54.9316,-97.6563,-1.2207,-59.2041,54.3213,-39.6729,20.1416,-63.4766,360,-75.03085446,-14.16151344,-56.06711062,-61.16546332,-14.64580335,2.679298643,0.996618857,109,-6.467486374,-14.2710267,-63.65546514,8.119927579,-15.66397096,3.540597721,0.9951844745,NA
"27","MA25040B","MA25040","B","9/3/25",102,"BPA",-31.6,-38.1,-40.8,-23.2,19.26,40.08,24.51,3.51,384.2,63.7,97.7,258,97.7,83.9,104.8,15.1,1500,1500,1500,50,-130.6,-324.1,-160.5,-195.9,-103.76,-216.675,NA,NA,-36.6211,-104.37,-90.332,-160.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","MA25040C","MA25040","C","9/3/25",102,"BPA",-67.4,-64.3,-66.5,-59.4,31.71,34.38,28.29,21.61,33.7,34.2,73.9,192.9,34.3,52,73.7,80.2,539.5,719,1000,1200,-119,-136.1,-63.5,-61.6,292.969,15.8691,216.6748047,-25.6348,135.498,-1.2207,53.1006,-26.8555,182,117.9923538,-11.83880852,-51.01557985,129.3804333,-11.93349037,2.784710147,0.9955464078,50,64.59960831,-12.64892575,-77.91991213,75.9053364,-11.86138981,3.335134658,0.9941870429,-4.27246092500005
"29","MA25044A","MA25044","A","9/9/25",108,"Veh",-64.8,-61.7,-35.9,NA,23.71,26.82,22.34,NA,45.8,44.7,112.9,NA,33,64.5,82.2,NA,454.5,708.4,1100,NA,-159.9,-119,-220.3,NA,223.999,-36.6211,136.108,-42.7246,-58.5938,-166.626,NA,NA,374,77.48526855,-10.88808316,-61.27921148,87.65312848,-10.84387125,3.758604004,0.9926897404,59,-5.348334611,-7.959397781,-42.94210956,3.07113976,-9.219979505,5.218178289,0.9817887862,NA
"30","MA25044B","MA25044","B","9/9/25",108,"Veh",-78,-72.6,-74.7,-74.9,30.64,47.03,51.01,50.33,190.1,56.1,61.7,50.5,65.9,73.9,56.2,72.7,1500,1500,1500,1500,-7.9,-50,-23.8,-30.5,42.1143,38.4521,103.149,15.8691,235.596,54.9316,205.688,49.4385,587,37.98736451,-13.04467695,-87.83563703,50.98833045,-13.90363288,5.111583527,0.9973781566,100,116.6747971,-11.93848155,-109.4231278,127.8606313,-11.91327279,7.174675572,0.9953380163,-1.678466775
"31","MA25044C","MA25044","C","9/9/25",108,"Veh",-68.4,-64.5,-68.8,-69.5,21.92,45.01,21.07,7.76,260,34.1,94.8,211.8,67.7,58.4,89.3,61.3,1200,1200,968.6,368.9,-43.3,-128.8,-59.2,-31.7,57.9834,15.2588,209.351,-10.9863,103.149,-11.5967,76.9043,1.83105,166,93.69263633,-15.62058756,-70.39973202,109.2420239,-16.91222671,3.363113479,0.9950580691,50,38.35449066,-12.35107193,-62.07244247,51.13463545,-14.07361996,4.140135234,0.9917479148,0.305175775000009
"32","MA25064A","MA25064","A","9/17/25",79,"BPA",-63.7,-73.5,-72,-66.4,33.08,79.6,82.73,61.64,140.4,30.2,27.2,38.6,67,50.1,54.3,65.7,1500,1500,1500,1500,-53.1,-65.3,-68.4,-92.2,12.8174,-7.93457,277.71,48.2178,277.1,47.6074,165.405,-5.49316,969,64.80686059,-24.03160014,-0.8139267293,93.32536542,-30.26676288,1.773839614,0.9955067299,208,152.420628,-16.1643274,-79.51643019,168.3422828,-16.92674045,3.695136407,0.997610868,41.5039063
"33","MA25064B","MA25064","B","9/17/25",79,"BPA",-69.7,-72,-72.3,-67.1,14.61,38.48,31.72,17.41,290.2,17.9,26.8,35.4,66,31.4,34.6,45.6,785.5,439.4,478.8,703.5,-30.5,-134.9,-100.1,-25,128.784,25.0244,465.088,64.0869,407.104,54.3213,68.9697,2.44141,251,251.963331,-17.9997837,-63.2137144,269.9776732,-18.85109067,2.85241687,0.9970682203,556,241.9483954,-14.45984912,-61.34806982,255.8897998,-14.38330514,3.014344797,0.9965076181,13.58032225
"34","MA25063A","MA25063","A","9/19/25",81,"BPA",-56.7,-69.4,-70.4,-70.3,45.45,39.14,42.72,2.19,72.9,61.9,56.7,555,60.3,100.3,92.3,100.4,1500,1500,1500,186.2,-162.4,-41.8,-53.1,-11.6,68.9697,-33.5693,272.827,39.0625,149.536,11.5967,62.8662,3.05176,199,101.8152224,-16.73774295,-77.15741974,118.5659009,-17.54526736,3.681846925,0.997048568,98,112.1863477,-9.722031434,-49.25087754,122.0204609,-10.4882406,4.119357195,0.9919891558,-1.06811522500004
"35","MA25063B","MA25063","B","9/19/25",81,"BPA",-40.3,-41.7,-35.9,-23.4,46.84,69.91,24.17,6.96,75.4,36.5,32.7,69,55.7,52.1,88.7,93.2,1500,1500,577.3,276,-314.9,-399.2,-376.6,-325.9,-76.2939,-352.783,-71.4111,-280.762,-90.332,-244.141,-150.146,-252.686,276,-229.5717854,-27.59408402,-157.8120902,-202.5611034,-29.48326487,3.824751731,0.9957925267,88,-197.7122798,-11.88382024,-77.43505169,-186.3368974,-12.4144737,4.249255898,0.9900605917,NA
"36","MA25063C","MA25063","C","9/19/25",81,"BPA",-68.6,-69.1,-75.3,-75.2,6.56,25.62,13.03,11.29,216.8,22.2,43.4,50.6,86.6,52.6,43.3,44.6,406,400,282,267.7,-47.6,-117.2,-45.2,-37.8,223.999,9.76563,283.813,0,313.11,67.749,269.165,62.2559,243,135.5633511,-11.24704699,-70.28035174,145.5092404,-9.23346701,3.900723013,0.9851401,NA,NA,NA,NA,NA,NA,NA,NA,44.8608398
"37","MA25065A","MA25065","A","9/23/25",85,"BPA",-70.7,-70.1,-68.8,-68.7,18.82,62.04,29.8,26.67,338.6,35.4,54.8,66.9,104.2,55.6,46.3,47.7,1500,1300,748.1,742.5,-18.3,-116,-94.6,-80.6,67.749,6.71387,234.375,17.7002,215.454,-0.610352,185.547,4.27246,92,113.8769986,-13.75414381,-38.3680763,128.3401957,-15.17268063,2.885307779,0.987766898,152,87.22003511,-19.24615021,-83.47561,106.1923363,-20.40030748,3.32655001,0.9935674313,140.533447325
"38","MA25065B","MA25065","B","9/23/25",85,"BPA",-64.6,-48.1,NA,NA,10.25,12.2,NA,NA,524.5,160.6,NA,NA,82.3,80.4,NA,NA,728.8,653.7,NA,NA,-8.5,-116.6,NA,NA,8.54492,-9.15527,-20.752,-69.5801,NA,NA,NA,NA,62,-6.723711223,-14.0321786,-44.74073613,7.378508062,-15.10238675,2.562361062,0.9877519663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MA25066A","MA25066","A","9/25/25",87,"BPA",-59.3,-63.9,-67.1,-65,37.37,44.09,39.57,36.85,135.8,100.2,94,115.1,57,51.5,63.5,63,1500,1500,1500,1500,-90.9,-78.7,-66.5,-62.9,42.7246,-26.2451,72.0215,-14.0381,100.708,-9.15527,75.0732,-16.4795,659,2.929502143,-24.79286837,-140.0610926,28.16720933,-26.70903493,4.455925784,0.9984372422,171,37.16362648,-15.08674675,-98.7256945,52.77041083,-16.75685574,5.193285784,0.9944044702,-18.768310575
"40","MA25066B","MA25066","B","9/25/25",87,"BPA",-59.1,-65.9,NA,NA,27.6,75.73,NA,NA,162.4,16.9,NA,NA,71.6,39.4,NA,NA,1400,896.1,NA,NA,-75.7,-220.9,NA,NA,37.8418,-36.6211,289.917,-61.0352,NA,NA,NA,NA,262,0.9830850495,-11.06693134,-92.70261518,9.399443904,-8.343726324,4.934600778,0.9870516747,NA,NA,NA,NA,NA,NA,NA,NA,NA
